# Time-averaged data for fix f5
# TimeStep Number-of-rows
# Row c_rdff[1] c_rdff[2] c_rdff[3]
100000 2000
1073 4.29 0.783839 546.726
1074 4.294 0.781656 547.508
1075 4.298 0.779009 548.287
1076 4.302 0.777552 549.064
1077 4.306 0.778275 549.842
1078 4.31 0.777558 550.62
1079 4.314 0.775789 551.396
1080 4.318 0.774501 552.17
1081 4.322 0.772655 552.943
1082 4.326 0.770642 553.714
1083 4.33 0.769553 554.483
1084 4.334 0.767932 555.251
1085 4.338 0.765913 556.017
1086 4.342 0.764074 556.781
1087 4.346 0.763039 557.544
1088 4.35 0.762114 558.306
1089 4.354 0.761444 559.068
1090 4.358 0.760249 559.828
1091 4.362 0.758915 560.587
1092 4.366 0.757667 561.344
1093 4.37 0.756249 562.101
1094 4.374 0.753795 562.854
1095 4.378 0.752109 563.607
1096 4.382 0.750862 564.357
1097 4.386 0.750326 565.108
1098 4.39 0.748937 565.857
1099 4.394 0.748812 566.606
1100 4.398 0.747275 567.353
1101 4.402 0.74535 568.098
1102 4.406 0.743929 568.842
1103 4.41 0.742072 569.584
1104 4.414 0.739658 570.324
1105 4.418 0.738506 571.062
1106 4.422 0.736678 571.799
1107 4.426 0.73484 572.534
